y,x,b,x1,y1,x2,y2
52.008342,4.326689,338.607880,52.008440,4.327097,52.008243,4.326281
52.008382,4.326780,338.603395,52.008480,4.327188,52.008283,4.326372
52.008422,4.326872,338.598911,52.008520,4.327280,52.008323,4.326464
52.008462,4.326964,338.594428,52.008560,4.327372,52.008363,4.326555
52.008502,4.327055,338.589944,52.008600,4.327463,52.008403,4.326647
52.008542,4.327147,338.589525,52.008640,4.327555,52.008443,4.326739
52.008582,4.327238,338.701760,52.008680,4.327647,52.008484,4.326830
52.008622,4.327330,338.697274,52.008720,4.327738,52.008524,4.326921
52.008663,4.327421,338.692789,52.008761,4.327830,52.008565,4.327013
52.008703,4.327513,338.688305,52.008801,4.327921,52.008605,4.327105
52.008743,4.327604,338.683820,52.008841,4.328013,52.008645,4.327196
52.008783,4.327696,338.679336,52.008881,4.328104,52.008685,4.327288
52.008824,4.327788,338.674852,52.008922,4.328196,52.008726,4.327379
52.008864,4.327879,338.670368,52.008962,4.328287,52.008766,4.327471
52.008905,4.327970,339.139340,52.009001,4.328380,52.008809,4.327561
52.008947,4.328061,339.524197,52.009041,4.328472,52.008852,4.327650
52.008989,4.328152,339.519697,52.009083,4.328563,52.008894,4.327741
52.009030,4.328243,339.554325,52.009125,4.328653,52.008936,4.327832
52.009072,4.328334,339.526441,52.009167,4.328744,52.008978,4.327923
52.009114,4.328424,339.521941,52.009209,4.328835,52.009020,4.328014
52.006717,4.327131,5.283553,52.006692,4.327567,52.006742,4.326694
52.006805,4.327083,5.286682,52.006780,4.327519,52.006830,4.326646
52.006893,4.327035,5.289362,52.006868,4.327471,52.006917,4.326598
52.006980,4.326986,5.396161,52.006955,4.327423,52.007005,4.326550
52.007067,4.326937,5.529598,52.007041,4.327373,52.007093,4.326500
52.007154,4.326887,5.532367,52.007128,4.327323,52.007180,4.326451
52.007241,4.326838,5.535135,52.007215,4.327274,52.007267,4.326401
52.007328,4.326788,5.537904,52.007302,4.327224,52.007354,4.326352
52.007414,4.326739,5.540672,52.007388,4.327175,52.007441,4.326302
52.007501,4.326689,5.544916,52.007475,4.327125,52.007527,4.326253
52.007588,4.326640,5.548020,52.007562,4.327076,52.007614,4.326203
52.007676,4.326591,5.370567,52.007651,4.327028,52.007701,4.326155
52.007764,4.326544,5.194597,52.007740,4.326981,52.007788,4.326108
52.007852,4.326497,5.197230,52.007828,4.326934,52.007877,4.326061
52.007941,4.326450,5.199862,52.007916,4.326887,52.007965,4.326014
52.008029,4.326403,5.202495,52.008004,4.326840,52.008053,4.325967
52.008117,4.326356,5.205127,52.008093,4.326793,52.008142,4.325920
52.008205,4.326308,5.341854,52.008180,4.326745,52.008230,4.325872
52.008292,4.326260,5.401656,52.008267,4.326696,52.008318,4.325824
52.008380,4.326212,5.404362,52.008354,4.326648,52.008405,4.325775
52.008467,4.326163,5.407067,52.008442,4.326600,52.008493,4.325727
52.008555,4.326115,5.409773,52.008530,4.326551,52.008580,4.325679
52.008642,4.326067,5.412478,52.008617,4.326503,52.008668,4.325630
